City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
364,paragominas,BR,-3,-47.35,1528905508,91.93,56,20,5.41
365,fairbanks,US,64.84,-147.72,1528901880,42.8,75,1,3.36
366,poum,MK,41.28,20.71,1528903800,78.8,47,40,8.05
367,boyle,IE,53.97,-8.3,1528902000,55.4,100,75,18.34
368,klaksvik,FO,62.23,-6.59,1528903200,48.2,93,92,19.46
369,aleksandro-nevskiy,RU,53.48,40.21,1528905510,74.2,49,0,9.78
370,graham,US,36.07,-79.4,1528905240,75.2,78,75,9.17
371,paraiso,MX,24.01,-104.61,1528901040,66.2,68,75,3.36
372,nishihara,JP,35.74,139.53,1528902000,69.8,68,75,3.36
373,charyshskoye,RU,51.4,83.56,1528905511,69.7,37,8,3.4
374,struer,DK,56.48,8.6,1528903200,60.8,63,8,17.22
375,hualmay,PE,-11.1,-77.61,1528905511,65.02,77,12,3.62
376,ystad,SE,55.43,13.82,1528903200,68,60,75,13.87
377,buin,CL,-33.73,-70.74,1528905600,46.4,65,0,3.36
378,gamboma,CG,-1.87,15.88,1528905516,87.34,64,0,6.53
379,bristol,GB,51.45,-2.6,1528903200,68,77,75,10.29
380,imbituba,BR,-28.24,-48.67,1528902000,69.8,64,40,3.36
381,comrie,GB,56.09,-3.58,1528903200,60.8,72,40,14.99
382,esil,KZ,51.96,66.41,1528905517,60.25,50,0,7.65
383,lompoc,US,34.64,-120.46,1528904100,62.6,63,1,2.51
384,coihaique,CL,-45.58,-72.07,1528902000,33.8,85,80,2.24
